[0.43181818181800002, 'K=', '456\n']
[0.43478260869599999, 'K=', '454\n']
[0.4375, 'K=', '484\n']
[0.44124168514399997, 'K=', '49\n']
[0.44186046511600002, 'K=', '457\n']
[0.444444444444, 'K=', '455\n']
[0.444444444444, 'K=', '482\n']
[0.444444444444, 'K=', '491\n']
[0.44680851063799998, 'K=', '453\n']
[0.45000000000000001, 'K=', '460\n']
[0.45098039215699998, 'K=', '449\n']
[0.45238095238100001, 'K=', '458\n']
[0.45454545454500001, 'K=', '489\n']
[0.45588235294099999, 'K=', '432\n']
[0.45833333333300003, 'K=', '452\n']
[0.46000000000000002, 'K=', '450\n']
[0.46153846153799999, 'K=', '448\n']
[0.46153846153799999, 'K=', '461\n']
[0.46153846153799999, 'K=', '487\n']
[0.46202531645599998, 'K=', '26\n']
[0.46268656716399997, 'K=', '433\n']
[0.46296296296299999, 'K=', '446\n']
[0.46341463414599998, 'K=', '459\n']
[0.46370967741899999, 'K=', '252\n']
[0.46376811594200001, 'K=', '431\n']
[0.46428571428600002, 'K=', '304\n']
[0.46428571428600002, 'K=', '444\n']
[0.46464646464600001, 'K=', '302\n']
[0.46500000000000002, 'K=', '300\n']
[0.46530612244899999, 'K=', '255\n']
[0.46551724137900002, 'K=', '442\n']
[0.46568627451, 'K=', '296\n']
[0.46575342465800001, 'K=', '427\n']
[0.46586345381499999, 'K=', '251\n']
[0.465934065934, 'K=', '45\n']
[0.46596858638700001, 'K=', '309\n']
[0.46601941747600001, 'K=', '294\n']
[0.46666666666700002, 'K=', '305\n']
[0.46666666666700002, 'K=', '485\n']
[0.46681415929199999, 'K=', '48\n']
[0.46700507614199999, 'K=', '303\n']
[0.46733668341700002, 'K=', '301\n']
[0.46747967479699998, 'K=', '254\n']
[0.46766169154199999, 'K=', '299\n']
[0.467889908257, 'K=', '282\n']
[0.46798029556699999, 'K=', '297\n']
[0.46800000000000003, 'K=', '250\n']
[0.468271334792, 'K=', '43\n']
[0.46829268292699999, 'K=', '295\n']
[0.46842105263200001, 'K=', '310\n']
[0.46859903381599999, 'K=', '293\n']
[0.46875, 'K=', '308\n']
[0.46875, 'K=', '404\n']
[0.46887966804999998, 'K=', '259\n']
[0.46907216494800003, 'K=', '306\n']
[0.469135802469, 'K=', '257\n']
[0.46938775510199998, 'K=', '402\n']
[0.46938775510199998, 'K=', '451\n']
[0.46948356807500002, 'K=', '287\n']
[0.46963562752999999, 'K=', '253\n']
[0.46969696969699998, 'K=', '434\n']
[0.47004608294900002, 'K=', '283\n']
[0.47008547008500001, 'K=', '32\n']
[0.47011952191200002, 'K=', '249\n']
[0.47019867549700001, 'K=', '47\n']
[0.47029702970300002, 'K=', '298\n']
[0.47058823529400001, 'K=', '483\n']
[0.47089947089900003, 'K=', '311\n']
[0.47107438016499997, 'K=', '258\n']
[0.47115384615400002, 'K=', '292\n']
[0.47131147541000001, 'K=', '256\n']
[0.47133757961799999, 'K=', '343\n']
[0.47142857142900002, 'K=', '430\n']
[0.47150259067400002, 'K=', '307\n']
[0.47169811320799998, 'K=', '394\n']
[0.47169811320799998, 'K=', '447\n']
[0.472222222222, 'K=', '248\n']
[0.472222222222, 'K=', '428\n']
[0.47239263803699999, 'K=', '337\n']
[0.47272727272699999, 'K=', '280\n']
[0.47272727272699999, 'K=', '335\n']
[0.47272727272699999, 'K=', '445\n']
[0.47286821705400001, 'K=', '371\n']
[0.47297297297300001, 'K=', '426\n']
[0.47311827957000002, 'K=', '407\n']
[0.47337278106500003, 'K=', '331\n']
[0.47340425531899999, 'K=', '312\n']
[0.47356828193799999, 'K=', '46\n']
[0.47368421052600002, 'K=', '291\n']
[0.47368421052600002, 'K=', '405\n']
[0.47368421052600002, 'K=', '424\n']
[0.47368421052600002, 'K=', '44\n']
[0.47368421052600002, 'K=', '443\n']
[0.47368421052600002, 'K=', '462\n']
[0.47368421052600002, 'K=', '481\n']
[0.473933649289, 'K=', '289\n']
[0.47422680412399998, 'K=', '403\n']
[0.474418604651, 'K=', '285\n']
[0.47457627118599999, 'K=', '441\n']
[0.47474747474700002, 'K=', '401\n']
[0.47488584474899997, 'K=', '281\n']
[0.47489539748999998, 'K=', '22\n']
[0.47499999999999998, 'K=', '260\n']
[0.47513812154700003, 'K=', '319\n']
[0.47524752475199999, 'K=', '399\n']
[0.47526881720399999, 'K=', '35\n']
[0.47537473233400002, 'K=', '33\n']
[0.47560975609799999, 'K=', '336\n']
[0.47560975609799999, 'K=', '418\n']
[0.475675675676, 'K=', '315\n']
[0.475903614458, 'K=', '334\n']
[0.47593582887699998, 'K=', '313\n']
[0.475982532751, 'K=', '42\n']
[0.47607655502399998, 'K=', '82\n']
[0.47619047618999999, 'K=', '290\n']
[0.47619047618999999, 'K=', '332\n']
[0.47619047618999999, 'K=', '38\n']
[0.47619047618999999, 'K=', '395\n']
[0.47641509434000001, 'K=', '288\n']
[0.47663551401900001, 'K=', '286\n']
[0.47663551401900001, 'K=', '393\n']
[0.47685185185200002, 'K=', '284\n']
[0.47692307692300001, 'K=', '435\n']
[0.47698744769899998, 'K=', '261\n']
[0.47706422018299999, 'K=', '391\n']
[0.47747747747699998, 'K=', '278\n']
[0.47777777777800001, 'K=', '320\n']
[0.47789473684200001, 'K=', '25\n']
[0.47802197802200003, 'K=', '318\n']
[0.47826086956500002, 'K=', '247\n']
[0.47826086956500002, 'K=', '316\n']
[0.47826086956500002, 'K=', '408\n']
[0.47844827586200001, 'K=', '36\n']
[0.47849462365599998, 'K=', '314\n']
[0.47872340425499998, 'K=', '406\n']
[0.478873239437, 'K=', '429\n']
[0.47899159663899998, 'K=', '262\n']
[0.47904191616800001, 'K=', '333\n']
[0.47963800904999998, 'K=', '279\n']
[0.47971360381900002, 'K=', '81\n']
[0.479744136461, 'K=', '31\n']
[0.47999999999999998, 'K=', '400\n']
[0.47999999999999998, 'K=', '425\n']
[0.47999999999999998, 'K=', '475\n']
[0.47999999999999998, 'K=', '50\n']
[0.48031496063000001, 'K=', '246\n']
[0.48039215686300002, 'K=', '398\n']
[0.48044692737400002, 'K=', '321\n']
[0.48046875, 'K=', '244\n']
[0.48051948051900001, 'K=', '423\n']
[0.48076923076900002, 'K=', '396\n']
[0.48087431693999999, 'K=', '317\n']
[0.48101265822799999, 'K=', '263\n']
[0.48101265822799999, 'K=', '342\n']
[0.48101265822799999, 'K=', '421\n']
[0.48106904231600001, 'K=', '51\n']
[0.48148148148100001, 'K=', '338\n']
[0.48148148148100001, 'K=', '365\n']
[0.48148148148100001, 'K=', '392\n']
[0.48148148148100001, 'K=', '419\n']
[0.48148148148100001, 'K=', '473\n']
[0.481751824818, 'K=', '363\n']
[0.48181818181800001, 'K=', '390\n']
[0.48192771084300001, 'K=', '417\n']
[0.48214285714299998, 'K=', '276\n']
[0.48214285714299998, 'K=', '52\n']
[0.482180293501, 'K=', '23\n']
[0.48226950354600001, 'K=', '359\n']
[0.48235294117600003, 'K=', '245\n']
[0.48235294117600003, 'K=', '330\n']
[0.482490272374, 'K=', '243\n']
[0.48255813953499999, 'K=', '328\n']
[0.48260869565199999, 'K=', '40\n']
[0.48275862068999997, 'K=', '326\n']
[0.48314606741600002, 'K=', '322\n']
[0.48322147651000003, 'K=', '53\n']
[0.48333333333299999, 'K=', '440\n']
[0.48333333333299999, 'K=', '80\n']
[0.48344370860899999, 'K=', '349\n']
[0.48351648351600002, 'K=', '409\n']
[0.48366013071899999, 'K=', '347\n']
[0.483870967742, 'K=', '221\n']
[0.483870967742, 'K=', '345\n']
[0.48414376321399999, 'K=', '27\n']
[0.48427672956000001, 'K=', '341\n']
[0.48430493273500003, 'K=', '277\n']
[0.484375, 'K=', '436\n']
[0.48447204968899998, 'K=', '339\n']
[0.48449612403100001, 'K=', '242\n']
[0.48461538461499998, 'K=', '110\n']
[0.48461538461499998, 'K=', '370\n']
[0.48463356973999999, 'K=', '77\n']
[0.48518518518499998, 'K=', '230\n']
[0.48538011695900002, 'K=', '329\n']
[0.48543689320400002, 'K=', '397\n']
[0.48554913294800001, 'K=', '327\n']
[0.48557692307700001, 'K=', '84\n']
[0.48571428571399999, 'K=', '325\n']
[0.48578199052100002, 'K=', '78\n']
[0.485838779956, 'K=', '41\n']
[0.48587570621499998, 'K=', '323\n']
[0.48591549295800002, 'K=', '74\n']
[0.48598130841100001, 'K=', '72\n']
[0.48611111111100003, 'K=', '356\n']
[0.48648648648600001, 'K=', '389\n']
[0.48648648648600001, 'K=', '463\n']
[0.48666666666699998, 'K=', '350\n']
[0.48684210526299998, 'K=', '348\n']
[0.487012987013, 'K=', '346\n']
[0.48712446351900002, 'K=', '34\n']
[0.487179487179, 'K=', '344\n']
[0.487179487179, 'K=', '422\n']
[0.48749999999999999, 'K=', '340\n']
[0.48749999999999999, 'K=', '420\n']
[0.48809523809499999, 'K=', '416\n']
[0.48818897637800002, 'K=', '373\n']
[0.48863636363599999, 'K=', '324\n']
[0.48863636363599999, 'K=', '412\n']
[0.48888888888900001, 'K=', '275\n']
[0.48888888888900001, 'K=', '410\n']
[0.48917748917699999, 'K=', '269\n']
[0.48920863309399998, 'K=', '361\n']
[0.48928571428599998, 'K=', '220\n']
[0.48936170212800001, 'K=', '265\n']
[0.48949579831899998, 'K=', '24\n']
[0.48951048950999998, 'K=', '357\n']
[0.48965517241399997, 'K=', '355\n']
[0.48975409836099998, 'K=', '12\n']
[0.48979591836699998, 'K=', '353\n']
[0.48993288590599998, 'K=', '351\n']
[0.49034749034699998, 'K=', '241\n']
[0.49056603773599999, 'K=', '76\n']
[0.49069767441899997, 'K=', '70\n']
[0.49101796407199999, 'K=', '166\n']
[0.491071428571, 'K=', '388\n']
[0.49115044247799999, 'K=', '274\n']
[0.49122807017499998, 'K=', '386\n']
[0.49130434782600002, 'K=', '270\n']
[0.49137931034499999, 'K=', '268\n']
[0.49145299145299998, 'K=', '266\n']
[0.49152542372899999, 'K=', '264\n']
[0.49160671462799999, 'K=', '83\n']
[0.49168646080799999, 'K=', '79\n']
[0.491764705882, 'K=', '75\n']
[0.49180327868899998, 'K=', '439\n']
[0.49184149184100001, 'K=', '71\n']
[0.49206349206299999, 'K=', '122\n']
[0.49206349206299999, 'K=', '374\n']
